-021.25000000,021.96000000,434.30000000
-019.91000000,017.97000000,433.20000000
-017.74155900,011.54884500,431.30000000
-015.57510900,005.12948700,430.90000000
-013.41000000,-001.29000000,429.90000000
-014.61187200,024.75085800,433.20000000
-011.13640400,019.39064350,432.10000000
-007.66093600,014.03042900,430.90000000
-004.18546800,008.67021450,430.10000000
-000.71000000,003.31000000,429.00000000
-007.97586900,027.54391200,432.75000000
-005.74690175,023.28293400,432.15000000
-003.51793450,019.02195600,431.05000000
-001.28896725,014.76097800,430.20000000
000.94000000,010.50000000,428.95000000
-001.34000000,030.34000000,432.30000000
001.25500000,026.09375000,432.20000000
003.85000000,021.84750000,431.20000000
006.44500000,017.60125000,430.30000000
009.04000000,013.35500000,428.90000000
007.22000000,033.94000000,431.20000000
009.70000000,029.50750000,430.50000000
012.18000000,025.07500000,430.00000000
014.66000000,020.64250000,429.60000000
017.14000000,016.21000000,428.50000000
015.60000000,037.50000000,429.70000000
017.90000000,032.77500000,429.10000000
020.20000000,028.05000000,429.00000000
022.50000000,023.32500000,428.80000000
024.80000000,018.60000000,427.20000000
